what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411751768873
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411751788531
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411751806237
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411751806437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411751806943
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411751815612
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1411751827430
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411751828206
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1411751852342
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411751852652
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411751852702
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411751876032
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411751895360
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411751909396
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411752015119
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411752027219
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1411752049951
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411752050263
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411752050315
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1411752070126
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411752070366
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411752088460
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411752091443
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411752095790
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1411752097390
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411752097645
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411752102218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411752112710
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1411752112949
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1411752115410
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411752117597
